date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2008-08-29,sz.002269,6.6855900000,7.0198695000,5.7050368000,6.1730281000,57728749,1575793222.7700,2,103.087052,40.182186
2008-09-26,sz.002269,6.2376554700,6.8193018000,5.2816161000,5.6827515000,40970505,1119218077.2100,2,73.161616,-7.942238
2008-10-31,sz.002269,5.6827515000,5.9056045000,4.8091677400,5.1256190000,7709830,183831577.5400,2,13.767554,-9.803922
2008-11-28,sz.002269,5.1211619400,5.9390324500,4.9027660000,5.5066976300,16454690,402379455.6700,2,27.459160,7.434783
2008-12-31,sz.002269,5.4598985000,6.5674779100,5.2459596200,6.1730281000,25678902,692000668.1300,2,36.684146,12.100364
2009-01-23,sz.002269,6.1953134000,6.5741635000,5.7763497600,5.8476627200,16908241,460528733.3200,2,24.154630,-5.270758
2009-02-27,sz.002269,5.8654909600,6.9975842000,5.4532129100,5.6782944400,59274357,1695459920.6600,2,84.677653,-2.896341
2009-03-31,sz.002269,5.6158956000,6.0950295500,5.3752143600,6.0125739400,45012264,1171344077.8500,2,64.303234,5.886970
2009-04-30,sz.002269,6.0816583700,6.9730703700,5.8387486000,6.3513105000,87273966,2480781263.5400,2,124.677094,5.633803
2009-05-27,sz.002269,6.3735958000,6.6855900000,5.6482835200,5.7428720000,53419847,1245495207.5300,2,64.170657,-9.579759
2009-06-30,sz.002269,5.8104352000,6.3712097600,5.7023340800,6.0232592800,71827564,1276426405.2100,2,68.407204,4.882353
2009-07-31,sz.002269,6.0165029600,7.0840015200,5.9219144800,6.4151258400,113168640,2185020403.5500,2,107.779657,6.505889
2009-08-31,sz.002269,6.4117476800,6.9792785600,5.5739640000,5.8746202400,72108609,1350626271.6300,2,68.674866,-8.425487
2009-09-30,sz.002269,5.8374604800,7.8474656800,5.7462501600,7.7528772000,83250800,1683258829.7800,2,79.286476,31.972398
2009-10-30,sz.002269,7.9082725600,8.4217528800,7.2630440000,7.4995152000,74388515,1707341653.1500,2,70.846205,-3.267974
2009-11-30,sz.002269,7.3170945600,8.7494344000,7.2461532000,8.0771805600,74125602,1762520798.2400,2,70.595811,7.702703
