,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000507.SZ,20200214,5.12,5.14,5.08,5.09,5.12,-0.03000000000000025,-0.5859,56410.03,28763.971
1,000507.SZ,20200213,5.18,5.2,5.12,5.12,5.18,-0.05999999999999961,-1.1583,74470.56,38391.198
2,000507.SZ,20200212,5.14,5.2,5.11,5.18,5.14,0.040000000000000036,0.7782,73778.9,38154.942
3,000507.SZ,20200211,5.11,5.19,5.07,5.14,5.1,0.040000000000000036,0.7843,97743.5,50241.332
4,000507.SZ,20200210,4.95,5.1,4.93,5.1,4.97,0.1299999999999999,2.6157,106627.2,53609.184
5,000507.SZ,20200207,4.97,4.99,4.92,4.97,4.98,-0.010000000000000675,-0.2008,84515.27,41850.487
6,000507.SZ,20200206,4.99,4.99,4.91,4.98,4.95,0.03000000000000025,0.6061,101682.74,50401.305
7,000507.SZ,20200205,4.92,5.03,4.86,4.95,4.89,0.0600000000000005,1.227,101936.35,50586.493
8,000507.SZ,20200204,4.69,5.04,4.69,4.89,5.21,-0.3200000000000003,-6.142,193684.74,94963.703
9,000507.SZ,20200203,5.21,5.21,5.21,5.21,5.79,-0.5800000000000001,-10.0173,18347.0,9558.787
10,000507.SZ,20200123,5.82,5.9,5.75,5.79,5.89,-0.09999999999999964,-1.6978,61683.02,35899.298
11,000507.SZ,20200122,5.9,5.9,5.78,5.89,5.9,-0.010000000000000675,-0.1695,62978.78,36820.848
12,000507.SZ,20200121,5.98,5.98,5.9,5.9,5.98,-0.08000000000000007,-1.3378,51154.08,30298.168
13,000507.SZ,20200120,6.01,6.03,5.95,5.98,6.0,-0.019999999999999574,-0.3333,56921.05,34006.04
14,000507.SZ,20200117,6.07,6.08,6.0,6.0,6.05,-0.04999999999999982,-0.8264,57298.95,34508.516
15,000507.SZ,20200116,6.09,6.11,6.05,6.05,6.07,-0.020000000000000462,-0.3295,57928.0,35210.534
16,000507.SZ,20200115,6.11,6.12,6.04,6.07,6.12,-0.04999999999999982,-0.817,73520.0,44627.831
17,000507.SZ,20200114,6.13,6.15,6.11,6.12,6.13,-0.009999999999999787,-0.1631,61673.2,37779.793
18,000507.SZ,20200113,6.14,6.15,6.09,6.13,6.14,-0.009999999999999787,-0.1629,52381.34,32005.676
19,000507.SZ,20200110,6.13,6.16,6.1,6.14,6.13,0.009999999999999787,0.1631,56611.74,34696.339
20,000507.SZ,20200109,6.12,6.14,6.1,6.13,6.07,0.05999999999999961,0.9885,71474.58,43733.598
21,000507.SZ,20200108,6.17,6.18,6.06,6.07,6.19,-0.1200000000000001,-1.9386,138929.13,84853.877
22,000507.SZ,20200107,6.18,6.21,6.16,6.19,6.17,0.020000000000000462,0.3241,85099.64,52592.22
23,000507.SZ,20200106,6.16,6.21,6.1,6.17,6.21,-0.040000000000000036,-0.6441,118757.12,73108.974
24,000507.SZ,20200103,6.22,6.25,6.18,6.21,6.22,-0.009999999999999787,-0.1608,103432.85,64168.219
25,000507.SZ,20200102,6.18,6.23,6.15,6.22,6.14,0.08000000000000007,1.3029,126662.37,78511.108
26,000507.SZ,20191231,6.13,6.17,6.13,6.14,6.16,-0.020000000000000462,-0.3247,65955.58,40555.152
27,000507.SZ,20191230,6.16,6.18,6.1,6.16,6.14,0.020000000000000462,0.3257,94944.55,58271.462
28,000507.SZ,20191227,6.14,6.24,6.12,6.14,6.15,-0.010000000000000675,-0.1626,115294.42,71141.704
29,000507.SZ,20191226,6.1,6.15,6.07,6.15,6.1,0.05000000000000071,0.8197,79038.61,48349.354
30,000507.SZ,20191225,6.13,6.14,6.07,6.1,6.14,-0.040000000000000036,-0.6515,92722.5,56643.414
31,000507.SZ,20191224,6.15,6.15,6.06,6.14,6.11,0.02999999999999936,0.491,105905.58,64738.764
32,000507.SZ,20191223,6.26,6.28,6.1,6.11,6.31,-0.1999999999999993,-3.1696,188231.86,116294.477
33,000507.SZ,20191220,6.51,6.64,6.3,6.31,6.56,-0.25,-3.811,366816.77,236108.197
34,000507.SZ,20191219,6.67,6.67,6.44,6.56,6.66,-0.10000000000000053,-1.5015,292604.21,190823.591
35,000507.SZ,20191218,6.67,6.74,6.6,6.66,6.66,0.0,0.0,265821.54,177095.295
36,000507.SZ,20191217,6.57,6.8,6.52,6.66,6.6,0.0600000000000005,0.9091,436754.44,290444.047
37,000507.SZ,20191216,6.55,6.64,6.39,6.6,6.39,0.20999999999999996,3.2864,471981.06,308440.256
38,000507.SZ,20191213,6.24,6.43,6.2,6.39,6.16,0.22999999999999954,3.7338,382091.74,241601.314
39,000507.SZ,20191212,6.09,6.23,6.06,6.16,6.11,0.04999999999999982,0.8183,146299.96,90060.597
40,000507.SZ,20191211,6.17,6.19,6.08,6.11,6.18,-0.0699999999999994,-1.1327,101019.4,61816.575
41,000507.SZ,20191210,6.19,6.21,6.13,6.18,6.18,0.0,0.0,90738.17,55960.513
42,000507.SZ,20191209,6.28,6.28,6.15,6.18,6.24,-0.0600000000000005,-0.9615,122226.12,75782.386
43,000507.SZ,20191206,6.23,6.27,6.12,6.24,6.23,0.009999999999999787,0.1605,134534.79,83366.528
44,000507.SZ,20191205,6.24,6.34,6.18,6.23,6.23,0.0,0.0,182592.62,114159.501
45,000507.SZ,20191204,6.08,6.24,6.08,6.23,6.12,0.11000000000000032,1.7974,191451.55,118617.826
46,000507.SZ,20191203,6.05,6.13,6.01,6.12,6.1,0.020000000000000462,0.3279,100792.22,61154.645
47,000507.SZ,20191202,6.17,6.2,6.06,6.1,6.17,-0.07000000000000028,-1.1345,104748.52,63970.398
48,000507.SZ,20191129,6.14,6.2,6.11,6.17,6.15,0.019999999999999574,0.3252,107705.24,66293.306
49,000507.SZ,20191128,6.12,6.18,6.09,6.15,6.12,0.03000000000000025,0.4902,109157.6,66947.104
50,000507.SZ,20191127,6.03,6.16,6.02,6.12,6.06,0.0600000000000005,0.9901,104615.15,63848.085
51,000507.SZ,20191126,6.12,6.12,6.0,6.06,6.12,-0.0600000000000005,-0.9804,97821.72,59129.916
52,000507.SZ,20191125,6.0,6.2,5.98,6.12,6.03,0.08999999999999986,1.4925,163020.18,99472.23
53,000507.SZ,20191122,5.93,6.18,5.89,6.03,5.9,0.1299999999999999,2.2034,170904.71,103131.319
54,000507.SZ,20191121,5.9,5.95,5.85,5.9,5.91,-0.009999999999999787,-0.1692,49438.6,29166.556
55,000507.SZ,20191120,6.01,6.01,5.91,5.91,6.03,-0.1200000000000001,-1.99,80257.0,47808.387
56,000507.SZ,20191119,5.95,6.08,5.92,6.03,5.98,0.04999999999999982,0.8361,110748.23,66387.591
57,000507.SZ,20191118,5.93,6.02,5.91,5.98,5.97,0.010000000000000675,0.1675,100556.97,59844.03
58,000507.SZ,20191115,5.81,6.05,5.77,5.97,5.82,0.14999999999999947,2.5773,168907.36,100837.463
59,000507.SZ,20191114,5.87,5.92,5.81,5.82,5.9,-0.08000000000000007,-1.3559,48738.7,28480.667
