date,stock_main_close,stock_second_close,pbMRQ,peTTM,psTTM,pcfNcfTTM,peTTM/10,pcfNcfTTM/10,stock_main_close/100
1993/3/26,313.42,5.5970806,0,0,0,0,,,
1993/3/29,308.53,5.132694,0,0,0,0,,,
1993/3/30,313.97,5.2304596,0,0,0,0,,,
1993/3/31,315.37,5.2060182,0,0,0,0,,,
1993/4/1,314.24,5.1937975,0,0,0,0,,,
1993/4/2,310.16,5.0349284,0,0,0,0,,,
1993/4/5,305.23,4.9493835,0,0,0,0,,,
1993/4/6,307.4,4.9616042,0,0,0,0,,,
1993/4/7,316.1,5.1082526,0,0,0,0,,,
1993/4/8,326.07,5.377108,0,0,0,0,,,
1993/4/9,324.19,5.5237564,0,0,0,0,,,
1993/4/12,335.53,5.7926118,0,0,0,0,,,
1993/4/13,337.96,5.7070669,0,0,0,0,,,
1993/4/14,335.54,5.6826255,0,0,0,0,,,
1993/4/15,336.35,5.6704048,0,0,0,0,,,
1993/4/16,339.81,5.7559497,0,0,0,0,,,
1993/4/19,334.02,5.6337427,0,0,0,0,,,
1993/4/20,332.21,5.621522,0,0,0,0,,,
1993/4/21,332.39,5.621522,0,0,0,0,,,
1993/4/22,327.46,5.5359771,0,0,0,0,,,
1993/4/23,325.77,5.5237564,0,0,0,0,,,
1993/4/26,329.21,5.6093013,0,0,0,0,,,
1993/4/27,326.5,5.5726392,0,0,0,0,,,
1993/4/28,327.75,5.5115357,0,0,0,0,,,
1993/4/29,321.57,5.3282252,0,0,0,0,,,
1993/4/30,337.09,5.377108,0,0,0,0,,,
1993/5/3,331.63,5.2793424,0,0,0,0,,,
1993/5/4,331.1,5.254901,0,0,0,0,,,
1993/5/5,319.26,5.0593698,0,0,0,0,,,
1993/5/6,311.12,5.010487,0,0,0,0,,,
1993/5/7,311.16,4.9860456,0,0,0,0,,,
1993/5/10,300.81,4.7416316,0,0,0,0,,,
1993/5/11,294.2,4.5949832,0,0,0,0,,,
1993/5/12,304.98,4.8271765,0,0,0,0,,,
1993/5/13,313.68,5.0227077,0,0,0,0,,,
1993/5/14,314.89,5.010487,0,0,0,0,,,
1993/5/17,301.01,4.7171902,0,0,0,0,,,
1993/5/18,305.14,4.7905144,0,0,0,0,,,
1993/5/19,300.33,4.7049695,0,0,0,0,,,
1993/5/20,296.63,4.6560867,0,0,0,0,,,
1993/5/21,289.59,4.5461004,0,0,0,0,,,
1993/5/24,275.02,4.3139071,0,0,0,0,,,
1993/5/25,280.54,4.3872313,0,0,0,0,,,
1993/5/26,275.05,4.1917001,0,0,0,0,,,
1993/5/27,271.94,4.155038,0,0,0,0,,,
1993/5/28,273.52,4.1794794,0,0,0,0,,,
1993/5/31,282.3,4.399452,0,0,0,0,,,
1993/6/1,276.54,4.277245,0,0,0,0,,,
1993/6/2,282.78,4.399452,0,0,0,0,,,
1993/6/3,290.85,4.6194246,0,0,0,0,,,
1993/6/4,286.41,4.5949832,0,0,0,0,,,
1993/6/7,282.69,4.4235261,0,0,0,0,,,
1993/6/8,281.71,4.3892352,0,0,0,0,,,
1993/6/9,276.57,4.30350795,0,0,0,0,,,
1993/6/10,275.98,4.30350795,0,0,0,0,,,
1993/6/11,269.11,4.2177807,0,0,0,0,,,
1993/6/14,259.6,4.13205345,0,0,0,0,,,
1993/6/15,262.71,4.20063525,0,0,0,0,,,
1993/6/16,259.11,4.114908,0,0,0,0,,,
1993/6/17,257.85,4.0120353,0,0,0,0,,,
1993/6/18,272.49,4.26921705,0,0,0,0,,,
1993/6/21,264.26,4.114908,0,0,0,0,,,
1993/6/22,264.4,4.114908,0,0,0,0,,,
1993/6/23,267.74,4.16634435,0,0,0,0,,,
1993/6/24,272.82,4.20063525,0,0,0,0,,,
1993/6/25,265.98,4.09776255,0,0,0,0,,,
1993/6/28,264.61,4.0806171,0,0,0,0,,,
1993/6/29,265.3,4.13205345,0,0,0,0,,,
1993/6/30,261.58,4.06347165,0,0,0,0,,,
1993/7/1,257.14,3.99488985,0,0,0,0,,,
1993/7/2,263.91,4.114908,0,0,0,0,,,
1993/7/5,262.82,4.1491989,0,0,0,0,,,
1993/7/6,255.51,3.9777444,0,0,0,0,,,
1993/7/7,254.09,3.96059895,0,0,0,0,,,
1993/7/8,254.12,3.9777444,0,0,0,0,,,
1993/7/9,248.2,3.8748717,0,0,0,0,,,
1993/7/12,238.93,3.7034172,0,0,0,0,,,
1993/7/13,236.84,3.68627175,0,0,0,0,,,
1993/7/14,236.27,3.65198085,0,0,0,0,,,
1993/7/15,228.95,3.48052635,0,0,0,0,,,
1993/7/16,223.43,3.42909,0,0,0,0,,,
1993/7/19,210.3,3.20619915,0,0,0,0,,,
1993/7/20,210.75,3.20619915,0,0,0,0,,,
1993/7/21,203.91,3.06903555,0,0,0,0,,,
1993/7/22,207.09,3.13761735,0,0,0,0,,,
1993/7/23,214.15,3.2233446,0,0,0,0,,,
1993/7/26,212.86,3.1890537,0,0,0,0,,,
1993/7/27,223.05,3.2919264,0,0,0,0,,,
1993/7/28,229.42,3.3947991,0,0,0,0,,,
1993/7/29,234.94,3.3947991,0,0,0,0,,,
1993/7/30,242.62,3.68627175,0,0,0,0,,,
1993/8/2,239.98,3.6005445,0,0,0,0,,,
1993/8/3,233.94,3.4976718,0,0,0,0,,,
1993/8/4,237.24,3.5662536,0,0,0,0,,,
1993/8/5,244.06,3.68627175,0,0,0,0,,,
1993/8/6,240.26,3.6348354,0,0,0,0,,,
1993/8/9,255.1,3.99488985,0,0,0,0,,,
1993/8/10,257.49,4.26921705,0,0,0,0,,,
1993/8/11,270.7,4.4235261,0,0,0,0,,,
1993/8/12,280.69,4.6292715,0,0,0,0,,,
1993/8/13,294.06,4.9035987,0,0,0,0,,,
1993/8/16,320.8,5.6237076,0,0,0,0,,,
1993/8/17,282.95,4.7321442,0,0,0,0,,,
1993/8/18,289.04,5.143635,0,0,0,0,,,
1993/8/19,281.59,5.0750532,0,0,0,0,,,
1993/8/20,271.33,5.09219865,0,0,0,0,,,
1993/8/23,254.39,4.9035987,0,0,0,0,,,
1993/8/24,286,5.486544,0,0,0,0,,,
1993/8/25,272.69,5.143635,0,0,0,0,,,
1993/8/26,270.93,5.12648955,0,0,0,0,,,
1993/8/27,265.55,5.0064714,0,0,0,0,,,
1993/8/30,268.94,5.0750532,0,0,0,0,,,
1993/8/31,272.49,5.09219865,0,0,0,0,,,
1993/9/1,264.96,4.95503505,0,0,0,0,,,
1993/9/2,264.02,4.95503505,0,0,0,0,,,
1993/9/3,272.17,5.1093441,0,0,0,0,,,
1993/9/6,268.53,5.02361685,0,0,0,0,,,
1993/9/7,267.89,5.02361685,0,0,0,0,,,
1993/9/8,265.89,4.98932595,0,0,0,0,,,
1993/9/9,266.01,5.0064714,0,0,0,0,,,
1993/9/10,260.34,4.92074415,0,0,0,0,,,
1993/9/13,250.64,4.7664351,0,0,0,0,,,
1993/9/14,252.85,4.85216235,0,0,0,0,,,
1993/9/15,248.12,4.74928965,0,0,0,0,,,
1993/9/16,244.93,4.6635624,0,0,0,0,,,
1993/9/20,258.34,4.9378896,0,0,0,0,,,
1993/9/21,253.31,4.800726,0,0,0,0,,,
1993/9/22,257.16,4.9035987,0,0,0,0,,,
1993/9/23,256.83,4.8693078,0,0,0,0,,,
1993/9/24,246.25,4.6978533,0,0,0,0,,,
1993/9/27,247.53,4.71499875,0,0,0,0,,,
1993/9/28,249.1,4.74928965,0,0,0,0,,,
1993/9/29,255.02,4.8350169,0,0,0,0,,,
1993/9/30,254.54,4.85216235,0,0,0,0,,,
1993/10/4,261.08,4.92074415,0,0,0,0,,,
1993/10/5,259.46,4.8693078,0,0,0,0,,,
1993/10/6,257.04,4.81787145,0,0,0,0,,,
1993/10/7,257.5,4.81787145,0,0,0,0,,,
1993/10/8,254.92,4.7664351,0,0,0,0,,,
1993/10/11,251.32,4.74928965,0,0,0,0,,,
1993/10/12,252.84,4.7664351,0,0,0,0,,,
1993/10/13,248.96,4.71499875,0,0,0,0,,,
1993/10/14,248.09,4.71499875,0,0,0,0,,,
1993/10/15,250.47,4.7321442,0,0,0,0,,,
1993/10/18,244.55,4.6633138,0,0,0,0,,,
1993/10/19,244.69,4.646106,0,0,0,0,,,
1993/10/20,243.7,4.6633138,0,0,0,0,,,
1993/10/21,241.4,4.5944826,0,0,0,0,,,
1993/10/22,239.37,4.5772748,0,0,0,0,,,
1993/10/25,232.83,4.4568202,0,0,0,0,,,
1993/10/26,233.36,4.4051968,0,0,0,0,,,
1993/10/27,234.47,4.474028,0,0,0,0,,,
1993/10/28,241.48,4.6288982,0,0,0,0,,,
1993/10/29,235.81,4.5428592,0,0,0,0,,,
1993/11/1,232.61,4.4912358,0,0,0,0,,,
1993/11/2,234.45,4.5084436,0,0,0,0,,,
1993/11/3,232.77,4.4568202,0,0,0,0,,,
1993/11/4,231.34,4.4224046,0,0,0,0,,,
1993/11/5,232.55,4.474028,0,0,0,0,,,
1993/11/8,241.12,4.5944826,0,0,0,0,,,
1993/11/9,236.39,4.5772748,0,0,0,0,,,
1993/11/10,249.62,4.7665606,0,0,0,0,,,
1993/11/11,257.01,4.818184,0,0,0,0,,,
1993/11/12,265.01,4.9214308,0,0,0,0,,,
1993/11/15,271.32,5.0590932,0,0,0,0,,,
1993/11/16,263.43,4.818184,0,0,0,0,,,
1993/11/17,267.11,4.7837684,0,0,0,0,,,
1993/11/18,270.31,4.8009762,0,0,0,0,,,
1993/11/19,272.79,4.7665606,0,0,0,0,,,
1993/11/22,272.51,4.732145,0,0,0,0,,,
1993/11/23,264.21,4.646106,0,0,0,0,,,
1993/11/24,258.58,4.5772748,0,0,0,0,,,
1993/11/25,263.09,4.6116904,0,0,0,0,,,
1993/11/26,259.95,4.6116904,0,0,0,0,,,
1993/11/29,256.48,4.5772748,0,0,0,0,,,
1993/11/30,257.75,4.6116904,0,0,0,0,,,
1993/12/1,252.57,4.4912358,0,0,0,0,,,
1993/12/2,250.96,4.474028,0,0,0,0,,,
1993/12/3,250.39,4.474028,0,0,0,0,,,
1993/12/6,254.23,4.4224046,0,0,0,0,,,
1993/12/7,250.61,4.4051968,0,0,0,0,,,
1993/12/8,252.05,4.4051968,0,0,0,0,,,
1993/12/9,252.22,4.4051968,0,0,0,0,,,
1993/12/10,262.82,4.646106,0,0,0,0,,,
1993/12/13,253.37,4.4396124,0,0,0,0,,,
1993/12/14,256.86,4.4396124,0,0,0,0,,,
1993/12/15,260.46,4.474028,0,0,0,0,,,
1993/12/16,258.11,4.4224046,0,0,0,0,,,
1993/12/17,256.25,4.4224046,0,0,0,0,,,
1993/12/20,244.09,4.215911,0,0,0,0,,,
1993/12/21,247.31,4.30195,0,0,0,0,,,
1993/12/22,241.51,4.215911,0,0,0,0,,,
1993/12/23,236.53,4.1470798,0,0,0,0,,,
1993/12/24,244.45,4.1987032,0,0,0,0,,,
1993/12/27,240.37,4.0954564,0,0,0,0,,,
1993/12/28,237.94,4.0610408,0,0,0,0,,,
1993/12/29,236.52,3.9922096,0,0,0,0,,,
1993/12/30,239.95,4.0094174,0,0,0,0,,,
1993/12/31,238.28,4.043833,0,0,0,0,,,
1994/1/3,233.13,4.0094174,0,0,0,0,,,
1994/1/4,230.24,3.9405862,0,0,0,0,,,
1994/1/5,230.77,3.9061706,0,0,0,0,,,
1994/1/6,241.59,4.0782486,0,0,0,0,,,
1994/1/7,242.06,4.0266252,0,0,0,0,,,
1994/1/10,242.05,3.9922096,0,0,0,0,,,
1994/1/11,237.35,4.0782486,0,0,0,0,,,
1994/1/12,236.58,4.0954564,0,0,0,0,,,
1994/1/13,236.33,4.0782486,0,0,0,0,,,
1994/1/14,230.46,3.9405862,0,0,0,0,,,
1994/1/17,226.83,3.871755,0,0,0,0,,,
1994/1/18,230.7,3.9233784,0,0,0,0,,,
1994/1/19,224.48,3.8201316,0,0,0,0,,,
1994/1/20,222.34,3.7685082,0,0,0,0,,,
1994/1/21,222.68,3.7685082,0,0,0,0,,,
1994/1/24,222.83,3.785716,0,0,0,0,,,
1994/1/25,218.29,3.6824692,0,0,0,0,,,
1994/1/26,214.44,3.527599,0,0,0,0,,,
1994/1/27,217.56,3.5448068,0,0,0,0,,,
1994/1/28,210.81,3.44156,0,0,0,0,,,
1994/1/31,199.98,3.269482,0,0,0,0,,,
1994/2/1,199.21,3.2522742,0,0,0,0,,,
1994/2/2,204.92,3.355521,0,0,0,0,,,
1994/2/3,220.42,3.6480536,0,0,0,0,,,
1994/2/4,233.28,3.9233784,0,0,0,0,,,
1994/2/14,212.35,3.5103912,0,0,0,0,,,
1994/2/15,212.38,3.4759756,0,0,0,0,,,
1994/2/16,210.44,3.4931834,0,0,0,0,,,
1994/2/17,207,3.4243522,0,0,0,0,,,
1994/2/18,208.41,3.4587678,0,0,0,0,,,
1994/2/21,201.93,3.3727288,0,0,0,0,,,
1994/2/22,209.74,3.4931834,0,0,0,0,,,
1994/2/23,210.02,3.4759756,0,0,0,0,,,
1994/2/24,218.47,3.613638,0,0,0,0,,,
1994/2/25,216.98,3.6480536,0,0,0,0,,,
1994/2/28,211.9,3.6308458,0,0,0,0,,,
1994/3/1,211.2,3.5964302,0,0,0,0,,,
1994/3/2,209.22,3.5103912,0,0,0,0,,,
1994/3/3,206.27,3.4759756,0,0,0,0,,,
1994/3/4,203.92,3.4243522,0,0,0,0,,,
1994/3/7,202.58,3.4071444,0,0,0,0,,,
1994/3/8,201.28,3.3727288,0,0,0,0,,,
1994/3/9,200.71,3.355521,0,0,0,0,,,
1994/3/10,197.41,3.269482,0,0,0,0,,,
1994/3/11,199.18,3.269482,0,0,0,0,,,
1994/3/14,208.69,3.4587678,0,0,0,0,,,
1994/3/15,201.65,3.2866898,0,0,0,0,,,
1994/3/16,200.86,3.269482,0,0,0,0,,,
1994/3/17,202.11,3.2866898,0,0,0,0,,,
1994/3/18,204.03,3.3038976,0,0,0,0,,,
1994/3/21,199.42,3.2006508,0,0,0,0,,,
1994/3/22,197.09,3.1490274,0,0,0,0,,,
1994/3/23,191.49,3.0629884,0,0,0,0,,,
1994/3/24,188.32,2.9597416,0,0,0,0,,,
1994/3/25,189.03,2.925326,0,0,0,0,,,
1994/3/28,183.4,2.7704558,0,0,0,0,,,
1994/3/29,187.17,2.839287,0,0,0,0,,,
1994/3/30,183.62,2.753248,0,0,0,0,,,
1994/3/31,177.84,2.667209,0,0,0,0,,,
1994/4/1,174.4,2.5983778,0,0,0,0,,,
1994/4/4,172.3,2.5467544,0,0,0,0,,,
1994/4/5,173.47,2.5295466,0,0,0,0,,,
1994/4/6,175.75,2.5467544,0,0,0,0,,,
1994/4/7,175.82,2.5639622,0,0,0,0,,,
1994/4/8,170.28,2.4607154,0,0,0,0,,,
1994/4/11,164.18,2.3402608,0,0,0,0,,,
1994/4/12,164.09,2.3058452,0,0,0,0,,,
1994/4/13,160.77,2.2542218,0,0,0,0,,,
1994/4/14,152.14,2.0821438,0,0,0,0,,,
1994/4/15,157.85,2.2198062,0,0,0,0,,,
1994/4/18,147.62,2.0305204,0,0,0,0,,,
1994/4/19,137.16,1.892858,0,0,0,0,,,
1994/4/20,130.33,1.7724034,0,0,0,0,,,
1994/4/21,138.71,1.9272736,0,0,0,0,,,
1994/4/22,133.08,1.806819,0,0,0,0,,,
1994/4/25,136.08,1.8412346,0,0,0,0,,,
1994/4/26,141.63,1.9272736,1.311135,8.481418,5.565625,0,0.8481418,0,1.4163
1994/4/27,150.45,2.03740352,1.386057,8.966071,5.883661,0,0.8966071,0,1.5045
1994/4/28,146.24,1.9961048,1.357961,8.784326,5.764397,0,0.8784326,0,1.4624
1994/4/29,150.35,2.0305204,1.381374,8.93578,5.863783,0,0.893578,0,1.5035
1994/5/3,161.87,2.3402608,1.592092,10.298865,6.758259,0,1.0298865,0,1.6187
1994/5/4,157.12,2.33337768,1.58741,10.268574,6.738382,0,1.0268574,0,1.5712
1994/5/5,152.57,2.15785812,1.468003,9.496159,6.231512,0,0.9496159,0,1.5257
1994/5/6,153.98,2.23013088,1.51717,9.814213,6.440223,0,0.9814213,0,1.5398
1994/5/9,162.86,2.35058548,1.599116,10.344301,6.788075,0,1.0344301,0,1.6286
1994/5/10,166.96,2.4262998,1.650625,10.6775,7.006724,0,1.06775,0,1.6696
1994/5/11,160.34,2.2714296,1.545266,9.995957,6.559487,0,0.9995957,0,1.6034
1994/5/12,155.79,2.1853906,1.486733,9.617323,6.311021,0,0.9617323,0,1.5579
1994/5/13,164.91,2.323053,1.580386,10.223138,6.708566,0,1.0223138,0,1.6491
1994/5/16,166.04,2.33681924,1.589751,10.28372,6.74832,0,1.028372,0,1.6604
1994/5/17,160.61,2.24733868,1.528877,9.88994,6.489916,0,0.988994,0,1.6061
1994/5/18,158.91,2.2198062,1.510146,9.768776,6.410407,0,0.9768776,0,1.5891
1994/5/19,163,2.27831272,1.549949,10.026248,6.579364,0,1.0026248,0,1.63
1994/5/20,159.95,2.22324776,1.512488,9.783922,6.420346,0,0.9783922,0,1.5995
1994/5/23,157.41,2.19571528,1.493757,9.662759,6.340837,0,0.9662759,0,1.5741
1994/5/24,158.85,2.24389712,1.526535,9.874794,6.479978,0,0.9874794,0,1.5885
1994/5/25,155.66,2.19227372,1.491416,9.647613,6.330898,0,0.9647613,0,1.5566
1994/5/26,151.74,2.15441656,1.465661,9.481014,6.221574,0,0.9481014,0,1.5174
1994/5/27,150.83,2.12688408,1.446931,9.359851,6.142065,0,0.9359851,0,1.5083
1994/5/30,142.67,1.99954636,1.360302,8.799471,5.774336,0,0.8799471,0,1.4267
1994/5/31,145.05,2.0133126,1.369668,8.860053,5.81409,0,0.8860053,0,1.4505
1994/6/1,139.5,1.90318268,1.294746,8.375401,5.496055,0,0.8375401,0,1.395
1994/6/2,138.91,1.88597488,1.283039,8.299674,5.446362,0,0.8299674,0,1.3891
1994/6/3,139.66,1.90318268,1.294746,8.375401,5.496055,0,0.8375401,0,1.3966
1994/6/6,136.48,1.83435148,1.247919,8.072493,5.297282,0,0.8072493,0,1.3648
1994/6/7,135.58,1.83090992,1.245578,8.057347,5.287344,0,0.8057347,0,1.3558
1994/6/8,136.08,1.83435148,1.247919,8.072493,5.297282,0,0.8072493,0,1.3608
1994/6/9,134.41,1.81370212,1.233871,7.98162,5.237651,0,0.798162,0,1.3441
1994/6/10,133.51,1.81026056,1.23153,7.966475,5.227712,0,0.7966475,0,1.3351
1994/6/13,128.49,1.71389688,1.165973,7.542404,4.949431,0,0.7542404,0,1.2849
1994/6/14,125.46,1.67948128,1.14256,7.39095,4.850045,0,0.739095,0,1.2546
1994/6/15,126.47,1.67603972,1.140219,7.375805,4.840106,0,0.7375805,0,1.2647
1994/6/16,131.13,1.7379878,1.182363,7.648422,5.019001,0,0.7648422,0,1.3113
1994/6/17,136.38,1.81370212,1.233871,7.98162,5.237651,0,0.798162,0,1.3638
1994/6/20,128.46,1.7035722,1.158949,7.496968,4.919615,0,0.7496968,0,1.2846
1994/6/21,127.1,1.66571504,1.133195,7.330369,4.81029,0,0.7330369,0,1.271
1994/6/22,129.04,1.68292284,1.144902,7.406096,4.859983,0,0.7406096,0,1.2904
1994/6/23,127.83,1.66227348,1.130854,7.315223,4.800352,0,0.7315223,0,1.2783
1994/6/24,125.91,1.62441632,1.105099,7.148624,4.691027,0,0.7148624,0,1.2591
1994/6/27,120.41,1.52116952,1.03486,6.694262,4.392868,0,0.6694262,0,1.2041
1994/6/28,119,1.4454552,0.983351,6.361064,4.174219,0,0.6361064,0,1.19
1994/6/29,118.22,1.45577988,0.990375,6.4065,4.204035,0,0.64065,0,1.1822
1994/6/30,119.89,1.47298768,1.002082,6.482227,4.253728,0,0.6482227,0,1.1989
1994/7/1,117.09,1.4454552,0.983351,6.361064,4.174219,0,0.6361064,0,1.1709
1994/7/4,113.85,1.41448116,0.962279,6.224755,4.084771,0,0.6224755,0,1.1385
1994/7/5,113.88,1.41448116,0.962279,6.224755,4.084771,0,0.6224755,0,1.1388
1994/7/6,113.88,1.41448116,0.962279,6.224755,4.084771,0,0.6224755,0,1.1388
1994/7/7,113.88,1.41448116,0.962279,6.224755,4.084771,0,0.6224755,0,1.1388
1994/7/8,115.14,1.43168896,0.973986,6.300482,4.134464,0,0.6300482,0,1.1514
1994/7/11,111.89,1.42136428,0.966962,6.255046,4.104648,0,0.6255046,0,1.1189
1994/7/12,111.17,1.4282474,0.971645,6.285337,4.124526,0,0.6285337,0,1.1117
1994/7/13,112.63,1.4454552,0.983351,6.361064,4.174219,0,0.6361064,0,1.1263
1994/7/14,111.39,1.32946144,0.873594,5.651069,3.70831,0,0.5651069,0,1.1139
1994/7/15,107.11,1.2491584,0.820826,5.309729,3.484318,0,0.5309729,0,1.0711
1994/7/18,102.71,1.17331664,0.77099,4.987353,3.27277,0,0.4987353,0,1.0271
1994/7/19,102.7,1.15547152,0.759264,4.911499,3.222994,0,0.4911499,0,1.027
1994/7/20,100.31,1.11532,0.732881,4.74083,3.110998,0,0.474083,0,1.0031
1994/7/21,99.01,1.08409104,0.71236,4.608086,3.02389,0,0.4608086,0,0.9901
1994/7/22,98.52,1.04393952,0.685976,4.437416,2.911895,0,0.4437416,0,0.9852
1994/7/25,102.84,1.0930136,0.718223,4.646013,3.048778,0,0.4646013,0,1.0284
1994/7/26,107.44,1.19116176,0.782716,5.063206,3.322546,0,0.5063206,0,1.0744
1994/7/27,101.69,1.17331664,0.77099,4.987353,3.27277,0,0.4987353,0,1.0169
1994/7/28,96.63,1.1376264,0.747538,4.835646,3.173218,0,0.4835646,0,0.9663
1994/7/29,96.56,1.14208768,0.75047,4.854609,3.185662,0,0.4854609,0,0.9656
1994/8/1,126.77,1.69082512,1.111047,7.187098,4.716274,0,0.7187098,0,1.2677
1994/8/2,124.72,1.67298,1.099321,7.111244,4.666498,0,0.7111244,0,1.2472
1994/8/3,143.79,1.9406568,1.275212,8.249043,5.413137,0,0.8249043,0,1.4379
1994/8/4,147.5,1.9852696,1.304527,8.438677,5.537577,0,0.8438677,0,1.475
1994/8/5,162.26,2.1860272,1.436446,9.292026,6.097557,0,0.9292026,0,1.6226
1994/8/8,160.36,2.1414144,1.407131,9.102393,5.973117,0,0.9102393,0,1.6036
1994/8/9,148.46,1.90942784,1.254691,8.1163,5.326029,0,0.81163,0,1.4846
1994/8/10,165.72,2.15479824,1.415925,9.159283,6.010449,0,0.9159283,0,1.6572
1994/8/11,160.32,2.0744952,1.363158,8.817943,5.786457,0,0.8817943,0,1.6032
1994/8/12,161.29,2.08787904,1.371952,8.874833,5.823789,0,0.8874833,0,1.6129
1994/8/15,157.02,1.99865344,1.313322,8.495566,5.574909,0,0.8495566,0,1.5702
1994/8/16,158.88,2.01649856,1.325048,8.57142,5.624685,0,0.857142,0,1.5888
1994/8/17,162.46,2.1637208,1.33672,13.07788,94.583558,0,1.307788,0,1.6246
1994/8/18,167.65,2.23510128,1.380818,13.509315,97.70384,0,1.3509315,0,1.6765
1994/8/19,162.58,2.15033696,1.328451,12.996986,93.998505,0,1.2996986,0,1.6258
1994/8/22,158,2.05665008,1.270573,12.430727,89.903134,0,1.2430727,0,1.58
1994/8/23,160.64,2.05665008,1.270573,12.430727,89.903134,0,1.2430727,0,1.6064
1994/8/24,158.04,2.02542112,1.25128,12.241974,88.538011,0,1.2241974,0,1.5804
1994/8/25,153.95,1.9629632,1.212694,11.864469,85.807764,0,1.1864469,0,1.5395
1994/8/26,151.1,1.93619552,1.196157,11.70268,84.637658,0,1.170268,0,1.511
1994/8/29,147.46,1.8737376,1.157572,11.325175,81.907411,0,1.1325175,0,1.4746
1994/8/30,152.38,1.99865344,1.234743,12.080186,87.367905,0,1.2080186,0,1.5238
1994/8/31,159.46,2.09234032,1.292622,12.646445,91.463276,0,1.2646445,0,1.5946
1994/9/1,165.84,2.15479824,1.331207,13.023951,94.193523,0,1.3023951,0,1.6584
1994/9/2,173.65,2.25740768,1.394598,13.644139,98.678928,0,1.3644139,0,1.7365
1994/9/5,206.04,2.65000032,1.637137,16.017033,115.840481,0,1.6017033,0,2.0604
1994/9/6,223.17,2.93998352,1.816285,17.769738,128.516628,0,1.7769738,0,2.2317
1994/9/7,207.79,2.6544616,1.639893,16.043997,116.035499,0,1.6043997,0,2.0779
1994/9/8,225.32,2.7883,1.722577,16.852938,121.886028,0,1.6852938,0,2.2532
1994/9/9,212.77,2.676768,1.653674,16.178821,117.010587,0,1.6178821,0,2.1277
1994/9/12,225.63,2.78383872,1.719821,16.825974,121.691011,0,1.6825974,0,2.2563
1994/9/13,225.13,2.77045488,1.711552,16.745079,121.105958,0,1.6745079,0,2.2513
1994/9/14,220.02,2.6990744,1.667454,16.313644,117.985675,0,1.6313644,0,2.2002
1994/9/15,212.48,2.565236,1.584771,15.504703,112.135146,0,1.5504703,0,2.1248
1994/9/16,218.35,2.64553904,1.634381,15.990068,115.645464,0,1.5990068,0,2.1835
1994/9/19,215.03,2.66784544,1.648162,16.124891,116.620552,0,1.6124891,0,2.1503
1994/9/20,210.18,2.5429296,1.57099,15.36988,111.160058,0,1.536988,0,2.1018
1994/9/21,219.87,2.65892288,1.642649,16.070962,116.230517,0,1.6070962,0,2.1987
1994/9/22,215.89,2.59646496,1.604064,15.693456,113.500269,0,1.5693456,0,2.1589
1994/9/23,211.98,2.5206232,1.55721,15.235056,110.18497,0,1.5235056,0,2.1198
1994/9/26,213.77,2.4983168,1.543429,15.100233,109.209881,0,1.5100233,0,2.1377
1994/9/27,217.76,2.5206232,1.55721,15.235056,110.18497,0,1.5235056,0,2.1776
1994/9/28,225.72,2.5875424,1.598551,15.639527,113.110234,0,1.5639527,0,2.2572
1994/9/29,205.25,2.2752528,1.405623,13.751998,99.458999,0,1.3751998,0,2.0525
1994/9/30,188.25,2.13249184,1.317427,12.889127,93.218434,0,1.2889127,0,1.8825
1994/10/5,164.43,1.8291248,1.13001,11.055528,79.957235,0,1.1055528,0,1.6443
1994/10/6,155.9,1.7398992,1.074888,10.516233,76.056882,0,1.0516233,0,1.559
1994/10/7,170.43,1.90942784,1.179621,11.540892,83.467552,0,1.1540892,0,1.7043
1994/10/10,161.02,1.78897328,1.105205,10.812845,78.202076,0,1.0812845,0,1.6102
1994/10/11,162.88,1.79789584,1.110718,10.866775,78.592111,0,1.0866775,0,1.6288
1994/10/12,163.97,1.78897328,1.105205,10.812845,78.202076,0,1.0812845,0,1.6397
1994/10/13,152.02,1.69082512,1.044571,10.219622,73.911688,0,1.0219622,0,1.5202
1994/10/14,156.42,1.7398992,1.074888,10.516233,76.056882,0,1.0516233,0,1.5642
1994/10/17,148.09,1.65513488,1.022522,10.003904,72.351546,0,1.0003904,0,1.4809
1994/10/18,149.38,1.64621232,1.017009,9.949975,71.961511,0,0.9949975,0,1.4938
1994/10/19,152.9,1.71313152,1.058351,10.354445,74.886776,0,1.0354445,0,1.529
1994/10/20,162,1.8291248,1.13001,11.055528,79.957235,0,1.1055528,0,1.62
1994/10/21,155.05,1.69974768,1.050083,10.273551,74.301723,0,1.0273551,0,1.5505
1994/10/24,164.87,1.77558944,1.096937,10.731951,77.617023,0,1.0731951,0,1.6487
1994/10/25,159.41,1.70867024,1.055595,10.327481,74.691758,0,1.0327481,0,1.5941
1994/10/26,157.04,1.67298,1.033546,10.111763,73.131617,0,1.0111763,0,1.5704
1994/10/27,159.65,1.6952864,1.047327,10.246586,74.106705,0,1.0246586,0,1.5965
