date,stock_399106_close,stock_002269_close,stock_002269_pbMRQ,round_close,round_pbMRQ,stock_399106_close/100
2008/8/28,642.31,5.9947457,21.323893,0,0,6.4231
2008/8/29,659.18,6.1730281,21.958061,0,0,6.5918
2008/9/1,637.51,6.34016785,22.552593,0,0,6.3751
2008/9/2,635.49,6.1730281,21.958061,0,0,6.3549
2008/9/3,627.5,6.02817365,21.442799,0,0,6.275
2008/9/4,631.8,6.1061722,21.720248,0,0,6.318
2008/9/5,608.18,5.8833192,20.927538,0,0,6.0818
2008/9/8,583.28,5.5044691,19.579932,0,0,5.8328
2008/9/9,585.53,5.4376132,19.342119,0,0,5.8553
2008/9/10,588.31,5.5044691,19.579932,0,0,5.8831
2008/9/11,575.32,5.47995527,19.492733,0,0,5.7532
2008/9/12,578.76,5.6827515,20.214099,0,0,5.7876
2008/9/16,570.75,5.8610339,20.848267,0,0,5.7075
2008/9/17,559.95,5.89669038,20.975101,0,0,5.5995
2008/9/18,547.09,5.9056045,21.006809,0,0,5.4709
2008/9/19,595.72,6.49616495,23.10749,0,0,5.9572
2008/9/22,618.34,6.5964488,23.464209,0,0,6.1834
2008/9/23,584.26,5.93680392,21.117788,0,0,5.8426
2008/9/24,589.26,5.82314889,20.713507,0,0,5.8926
2008/9/25,607.79,5.75406446,20.467766,0,0,6.0779
2008/9/26,614.04,5.6827515,20.214099,0,0,6.1404
2008/10/6,590.92,5.6827515,20.214099,0,0,5.9092
2008/10/7,586.11,5.79640653,20.618381,0,0,5.8611
2008/10/8,570.65,5.57355353,19.825672,0,0,5.7065
2008/10/9,562.61,5.571325,19.817744,0,0,5.6261
2008/10/10,531.43,5.49555498,19.548223,0,0,5.3143
2008/10/13,541.32,5.51561175,19.619567,0,0,5.4132
2008/10/14,529.62,5.571325,19.817744,0,0,5.2962
2008/10/15,524.7,5.52898293,19.66713,0,0,5.247
2008/10/16,500.3,5.23481697,18.620753,0,0,5.003
2008/10/17,504.52,5.12784753,18.240252,0,0,5.0452
2008/10/20,520.38,5.348472,19.025035,0,0,5.2038
2008/10/21,519.13,5.32172964,6.832043,5,7,5.1913
2008/10/22,510.66,5.23258844,6.717603,5,7,5.1066
2008/10/23,514.56,5.16350401,6.628913,5,7,5.1456
2008/10/24,505.82,5.17687519,6.646079,5,7,5.0582
2008/10/27,472.99,5.09441958,6.540222,5,7,4.7299
2008/10/28,483.27,5.12339047,6.577415,5,7,4.8327
2008/10/29,472.36,5.12339047,6.577415,5,7,4.7236
2008/10/30,477.77,5.12339047,6.577415,5,7,4.7777
2008/10/31,470.91,5.125619,6.580276,5,7,4.7091
2008/11/3,466.05,5.09441958,6.540222,5,7,4.6605
2008/11/4,456.97,5.04539192,6.47728,5,6,4.5697
2008/11/5,470.86,5.19693196,6.671827,5,7,4.7086
2008/11/6,463.01,5.12339047,6.577415,5,7,4.6301
2008/11/7,467.35,5.125619,6.580276,5,7,4.6735
2008/11/10,497.35,5.36407171,6.886402,5,7,4.9735
2008/11/11,494.54,5.25710227,6.749074,5,7,4.9454
2008/11/12,501.76,5.26824492,6.763379,5,7,5.0176
2008/11/13,522.58,5.40641378,6.94076,5,7,5.2258
2008/11/14,545.34,5.46212703,7.012285,5,7,5.4534
2008/11/17,563.61,5.63372384,7.232581,6,7,5.6361
2008/11/18,524.98,5.27715904,6.774823,5,7,5.2498
2008/11/19,557.31,5.46658409,7.018007,5,7,5.5731
2008/11/20,556.73,5.46435556,7.015146,5,7,5.5673
2008/11/21,552.46,5.35738612,6.877819,5,7,5.5246
2008/11/24,532.82,5.4598985,7.009424,5,7,5.3282
2008/11/25,531.6,5.52898293,7.098115,6,7,5.316
2008/11/26,535.01,5.59138177,7.178223,6,7,5.3501
2008/11/27,544.06,5.5490397,7.123864,6,7,5.4406
2008/11/28,539.37,5.50669763,7.069505,6,7,5.3937
2008/12/1,554.61,5.7050368,7.324133,6,7,5.5461
2008/12/2,562.47,5.73623622,7.364187,6,7,5.6247
2008/12/3,584.43,6.05045895,7.767586,6,8,5.8443
2008/12/4,587.43,5.88554773,7.555873,6,8,5.8743
2008/12/5,600.71,6.18862781,7.944968,6,8,6.0071
2008/12/8,622.9,6.239884,8.01077,6,8,6.229
2008/12/9,610.19,6.239884,8.01077,6,8,6.1019
2008/12/10,624.33,6.1953134,7.953551,6,8,6.2433
2008/12/11,608.8,6.1061722,7.839111,6,8,6.088
2008/12/12,584.74,5.85657684,7.51868,6,8,5.8474
2008/12/15,590.36,5.83429154,7.49007,6,7,5.9036
2008/12/16,601.76,6.01480247,7.721811,6,8,6.0176
2008/12/17,607.39,6.00365982,7.707506,6,8,6.0739
2008/12/18,617.27,6.13960015,7.882026,6,8,6.1727
2008/12/19,622.9,6.3735958,8.18243,6,8,6.229
2008/12/22,621.81,6.47833671,8.316896,6,8,6.2181
2008/12/23,587.21,5.96131775,7.653147,6,8,5.8721
2008/12/24,575.07,5.71617945,7.338438,6,7,5.7507
2008/12/25,573,5.8833192,7.553012,6,8,5.73
2008/12/26,569.38,5.80977771,7.4586,6,7,5.6938
2008/12/29,565.17,5.9724604,7.667452,6,8,5.6517
2008/12/30,560.43,6.15965692,7.907775,6,8,5.6043
2008/12/31,553.3,6.1730281,7.924941,6,8,5.533
2009/1/5,571.13,6.30005431,8.088017,6,8,5.7113
2009/1/6,586.33,6.30005431,8.088017,6,8,5.8633
2009/1/7,584.71,6.08834396,7.816223,6,8,5.8471
2009/1/8,573.09,6.02148806,7.730394,6,8,5.7309
2009/1/9,585.85,6.35353903,8.156681,6,8,5.8585
2009/1/12,588.72,6.23542694,8.005049,6,8,5.8872
2009/1/13,571.62,6.11508632,7.850555,6,8,5.7162
2009/1/14,594.02,6.11954338,7.856277,6,8,5.9402
2009/1/15,595.87,6.017031,7.724672,6,8,5.9587
2009/1/16,600.69,5.93903245,7.624537,6,8,6.0069
2009/1/19,601.25,6.03040218,7.741837,6,8,6.0125
2009/1/20,606.81,6.02817365,7.738976,6,8,6.0681
2009/1/21,604.57,5.9724604,7.667452,6,8,6.0457
2009/1/22,613.16,5.87440508,7.541568,6,8,6.1316
2009/1/23,610.27,5.84766272,7.507236,6,8,6.1027
2009/2/2,623.01,5.94126098,7.627398,6,8,6.2301
2009/2/3,639.05,6.07274425,7.796196,6,8,6.3905
2009/2/4,652.99,6.09948661,7.830528,6,8,6.5299
2009/2/5,644.66,5.9278898,7.610232,6,8,6.4466
2009/2/6,672.81,6.16188545,7.910636,6,8,6.7281
2009/2/9,696.33,6.49616495,8.339784,6,8,6.9633
2009/2/10,714.67,6.6187341,8.497139,7,8,7.1467
2009/2/11,716.4,6.42039493,8.242511,6,8,7.164
2009/2/12,723.12,6.42039493,8.242511,6,8,7.2312
2009/2/13,749.31,6.67221882,8.565802,7,9,7.4931
2009/2/16,763.3,6.9307283,8.897677,7,9,7.633
2009/2/17,736.98,6.6187341,8.497139,7,8,7.3698
2009/2/18,707.03,6.462737,8.296869,6,8,7.0703
2009/2/19,722.1,6.65216205,8.540054,7,9,7.221
2009/2/20,744.07,6.5964488,8.468529,7,8,7.4407
2009/2/23,767.44,6.71901795,8.625883,7,9,7.6744
2009/2/24,737.93,6.21314164,7.976439,6,8,7.3793
2009/2/25,734.88,6.0616016,7.781891,6,8,7.3488
2009/2/26,689.92,5.5936103,7.181084,6,7,6.8992
2009/2/27,659.07,5.67829444,7.289801,6,7,6.5907
2009/3/2,672.85,5.7050368,7.324133,6,7,6.7285
2009/3/3,673.85,5.62035266,7.215415,6,7,6.7385
2009/3/4,715.48,5.84320566,7.501514,6,8,7.1548
2009/3/5,719.01,5.7273221,7.352743,6,7,7.1901
2009/3/6,715,5.63149531,7.22972,6,7,7.15
2009/3/9,686.47,5.49332645,7.052339,5,7,6.8647
2009/3/10,699.8,5.68943709,7.304106,6,7,6.998
2009/3/11,695.7,5.65600914,7.261191,6,7,6.957
2009/3/12,696.98,5.571325,7.152474,6,7,6.9698
2009/3/13,692.67,5.52898293,7.098115,6,7,6.9267
