date,stock_main_close,stock_second_close,pbMRQ,peTTM,psTTM,pcfNcfTTM,pcfNcfTTM/100,peTTM/10,close/peTTM
2008/8/28,642.31,5.9947457,21.323893,35.14902,4.931094,165.676851,1.65676851,1.65676851,
2008/8/29,659.18,6.1730281,21.958061,36.194344,5.077744,170.604044,1.70604044,1.70604044,
2008/9/1,637.51,6.34016785,22.552593,37.174335,5.215228,175.223287,1.75223287,1.75223287,
2008/9/2,635.49,6.1730281,21.958061,36.194344,5.077744,170.604044,1.70604044,1.70604044,
2008/9/3,627.5,6.02817365,21.442799,35.345018,4.958591,166.6007,1.666007,1.666007,
2008/9/4,631.8,6.1061722,21.720248,35.802347,5.02275,168.756346,1.68756346,1.68756346,
2008/9/5,608.18,5.8833192,20.927538,34.495692,4.839438,162.597356,1.62597356,1.62597356,
2008/9/8,583.28,5.5044691,19.579932,32.274379,4.527808,152.127071,1.52127071,1.52127071,
2008/9/9,585.53,5.4376132,19.342119,31.882382,4.472814,150.279374,1.50279374,1.50279374,
2008/9/10,588.31,5.5044691,19.579932,32.274379,4.527808,152.127071,1.52127071,1.52127071,
2008/9/11,575.32,5.47995527,19.492733,32.130646,4.507644,151.449582,1.51449582,1.51449582,
2008/9/12,578.76,5.6827515,20.214099,33.319703,4.674458,157.054264,1.57054264,1.57054264,
2008/9/16,570.75,5.8610339,20.848267,34.365027,4.821107,161.981457,1.61981457,1.61981457,
2008/9/17,559.95,5.89669038,20.975101,34.574091,4.850437,162.966895,1.62966895,1.62966895,
2008/9/18,547.09,5.9056045,21.006809,34.626358,4.85777,163.213255,1.63213255,1.63213255,
2008/9/19,595.72,6.49616495,23.10749,38.088993,5.343547,179.53458,1.7953458,1.7953458,
2008/9/22,618.34,6.5964488,23.464209,38.676988,5.426037,182.306126,1.82306126,1.82306126,
2008/9/23,584.26,5.93680392,21.117788,34.809289,4.883433,164.075513,1.64075513,1.64075513,
2008/9/24,589.26,5.82314889,20.713507,34.142895,4.789944,160.934428,1.60934428,1.60934428,
2008/9/25,607.79,5.75406446,20.467766,33.737832,4.733117,159.025141,1.59025141,1.59025141,
2008/9/26,614.04,5.6827515,20.214099,33.319703,4.674458,157.054264,1.57054264,1.57054264,
2008/10/6,590.92,5.6827515,20.214099,33.319703,4.674458,157.054264,1.57054264,1.57054264,
2008/10/7,586.11,5.79640653,20.618381,33.986097,4.767947,160.195349,1.60195349,1.60195349,
2008/10/8,570.65,5.57355353,19.825672,32.679442,4.584635,154.036358,1.54036358,1.54036358,
2008/10/9,562.61,5.571325,19.817744,32.666375,4.582802,153.974769,1.53974769,1.53974769,
2008/10/10,531.43,5.49555498,19.548223,32.222112,4.520475,151.880712,1.51880712,1.51880712,
2008/10/13,541.32,5.51561175,19.619567,32.339711,4.536974,152.435021,1.52435021,1.52435021,
2008/10/14,529.62,5.571325,19.817744,32.666375,4.582802,153.974769,1.53974769,1.53974769,
2008/10/15,524.7,5.52898293,19.66713,32.418111,4.547972,152.80456,1.5280456,1.5280456,
2008/10/16,500.3,5.23481697,18.620753,30.693326,4.306,144.674693,1.44674693,1.44674693,
2008/10/17,504.52,5.12784753,18.240252,30.066132,4.218011,141.718377,1.41718377,1.41718377,
2008/10/20,520.38,5.348472,19.025035,31.35972,4.399489,147.815778,1.47815778,1.47815778,
2008/10/21,519.13,5.32172964,6.832043,26.976533,4.005109,10.314225,0.10314225,0.10314225,
2008/10/22,510.66,5.23258844,6.717603,26.524664,3.938022,10.141458,0.10141458,0.10141458,
2008/10/23,514.56,5.16350401,6.628913,26.174466,3.88603,10.007563,0.10007563,0.10007563,
2008/10/24,505.82,5.17687519,6.646079,26.242247,3.896093,10.033478,0.10033478,0.10033478,
2008/10/27,472.99,5.09441958,6.540222,25.824269,3.834037,9.873668,0.09873668,0.09873668,
2008/10/28,483.27,5.12339047,6.577415,25.971126,3.85584,9.929817,0.09929817,0.09929817,
2008/10/29,472.36,5.12339047,6.577415,25.971126,3.85584,9.929817,0.09929817,0.09929817,
2008/10/30,477.77,5.12339047,6.577415,25.971126,3.85584,9.929817,0.09929817,0.09929817,
2008/10/31,470.91,5.125619,6.580276,25.982422,3.857518,9.934136,0.09934136,0.09934136,
2008/11/3,466.05,5.09441958,6.540222,25.824269,3.834037,9.873668,0.09873668,0.09873668,
2008/11/4,456.97,5.04539192,6.47728,25.575741,3.797139,9.778646,0.09778646,0.09778646,
2008/11/5,470.86,5.19693196,6.671827,26.343917,3.911187,10.072351,0.10072351,0.10072351,
2008/11/6,463.01,5.12339047,6.577415,25.971126,3.85584,9.929817,0.09929817,0.09929817,
2008/11/7,467.35,5.125619,6.580276,25.982422,3.857518,9.934136,0.09934136,0.09934136,
2008/11/10,497.35,5.36407171,6.886402,27.19117,4.036976,10.39629,0.1039629,0.1039629,
2008/11/11,494.54,5.25710227,6.749074,26.648928,3.956471,10.188969,0.10188969,0.10188969,
2008/11/12,501.76,5.26824492,6.763379,26.705412,3.964857,10.210565,0.10210565,0.10210565,
2008/11/13,522.58,5.40641378,6.94076,27.405807,4.068842,10.478354,0.10478354,0.10478354,
2008/11/14,545.34,5.46212703,7.012285,27.688225,4.110772,10.586334,0.10586334,0.10586334,
2008/11/17,563.61,5.63372384,7.232581,28.558071,4.239915,10.918912,0.10918912,0.10918912,
2008/11/18,524.98,5.27715904,6.774823,26.750598,3.971566,10.227841,0.10227841,0.10227841,
2008/11/19,557.31,5.46658409,7.018007,27.710818,4.114126,10.594973,0.10594973,0.10594973,
2008/11/20,556.73,5.46435556,7.015146,27.699522,4.112449,10.590653,0.10590653,0.10590653,
2008/11/21,552.46,5.35738612,6.877819,27.15728,4.031944,10.383332,0.10383332,0.10383332,
2008/11/24,532.82,5.4598985,7.009424,27.676928,4.109095,10.582015,0.10582015,0.10582015,
2008/11/25,531.6,5.52898293,7.098115,28.027126,4.161087,10.71591,0.1071591,0.1071591,
2008/11/26,535.01,5.59138177,7.178223,28.343434,4.208048,10.836847,0.10836847,0.10836847,
2008/11/27,544.06,5.5490397,7.123864,28.128797,4.176182,10.754783,0.10754783,0.10754783,
2008/11/28,539.37,5.50669763,7.069505,27.914159,4.144316,10.672718,0.10672718,0.10672718,
2008/12/1,554.61,5.7050368,7.324133,28.919566,4.293585,11.057126,0.11057126,0.11057126,
2008/12/2,562.47,5.73623622,7.364187,29.07772,4.317065,11.117594,0.11117594,0.11117594,
2008/12/3,584.43,6.05045895,7.767586,30.670555,4.553548,11.7266,0.117266,0.117266,
2008/12/4,587.43,5.88554773,7.555873,29.834599,4.429436,11.40698,0.1140698,0.1140698,
2008/12/5,600.71,6.18862781,7.944968,31.370951,4.657533,11.99439,0.1199439,0.1199439,
2008/12/8,622.9,6.239884,8.01077,31.630775,4.696108,12.093731,0.12093731,0.12093731,
2008/12/9,610.19,6.239884,8.01077,31.630775,4.696108,12.093731,0.12093731,0.12093731,
2008/12/10,624.33,6.1953134,7.953551,31.404841,4.662565,12.007348,0.12007348,0.12007348,
2008/12/11,608.8,6.1061722,7.839111,30.952973,4.595477,11.83458,0.1183458,0.1183458,
2008/12/12,584.74,5.85657684,7.51868,29.687742,4.407633,11.350831,0.11350831,0.11350831,
2008/12/15,590.36,5.83429154,7.49007,29.574775,4.390861,11.307639,0.11307639,0.11307639,
2008/12/16,601.76,6.01480247,7.721811,30.489808,4.526713,11.657493,0.11657493,0.11657493,
2008/12/17,607.39,6.00365982,7.707506,30.433324,4.518327,11.635897,0.11635897,0.11635897,
2008/12/18,617.27,6.13960015,7.882026,31.122423,4.620635,11.899368,0.11899368,0.11899368,
2008/12/19,622.9,6.3735958,8.18243,32.308578,4.796739,12.352883,0.12352883,0.12352883,
2008/12/22,621.81,6.47833671,8.316896,32.839523,4.875567,12.555885,0.12555885,0.12555885,
2008/12/23,587.21,5.96131775,7.653147,30.218687,4.486461,11.553833,0.11553833,0.11553833,
2008/12/24,575.07,5.71617945,7.338438,28.976049,4.301971,11.078722,0.11078722,0.11078722,
2008/12/25,573,5.8833192,7.553012,29.823302,4.427759,11.402661,0.11402661,0.11402661,
2008/12/26,569.38,5.80977771,7.4586,29.450511,4.372412,11.260128,0.11260128,0.11260128,
2008/12/29,565.17,5.9724604,7.667452,30.275171,4.494846,11.575429,0.11575429,0.11575429,
2008/12/30,560.43,6.15965692,7.907775,31.224094,4.63573,11.938241,0.11938241,0.11938241,
2008/12/31,553.3,6.1730281,7.924941,31.291874,4.645793,11.964156,0.11964156,0.11964156,
2009/1/5,571.13,6.30005431,8.088017,31.935786,4.741392,12.21035,0.1221035,0.1221035,
2009/1/6,586.33,6.30005431,8.088017,31.935786,4.741392,12.21035,0.1221035,0.1221035,
2009/1/7,584.71,6.08834396,7.816223,30.862599,4.58206,11.800026,0.11800026,0.11800026,
2009/1/8,573.09,6.02148806,7.730394,30.523698,4.531744,11.670451,0.11670451,0.11670451,
2009/1/9,585.85,6.35353903,8.156681,32.206907,4.781645,12.31401,0.1231401,0.1231401,
2009/1/12,588.72,6.23542694,8.005049,31.608182,4.692754,12.085093,0.12085093,0.12085093,
2009/1/13,571.62,6.11508632,7.850555,30.99816,4.602186,11.851857,0.11851857,0.11851857,
2009/1/14,594.02,6.11954338,7.856277,31.020753,4.60554,11.860495,0.11860495,0.11860495,
2009/1/15,595.87,6.017031,7.724672,30.501105,4.52839,11.661812,0.11661812,0.11661812,
2009/1/16,600.69,5.93903245,7.624537,30.10572,4.469689,11.510641,0.11510641,0.11510641,
2009/1/19,601.25,6.03040218,7.741837,30.568885,4.538453,11.687728,0.11687728,0.11687728,
2009/1/20,606.81,6.02817365,7.738976,30.557588,4.536776,11.683408,0.11683408,0.11683408,
2009/1/21,604.57,5.9724604,7.667452,30.275171,4.494846,11.575429,0.11575429,0.11575429,
2009/1/22,613.16,5.87440508,7.541568,29.778115,4.42105,11.385384,0.11385384,0.11385384,
2009/1/23,610.27,5.84766272,7.507236,29.642555,4.400924,11.333554,0.11333554,0.11333554,
2009/2/2,623.01,5.94126098,7.627398,30.117017,4.471366,11.51496,0.1151496,0.1151496,
2009/2/3,639.05,6.07274425,7.796196,30.783522,4.57032,11.769792,0.11769792,0.11769792,
2009/2/4,652.99,6.09948661,7.830528,30.919083,4.590446,11.821622,0.11821622,0.11821622,
2009/2/5,644.66,5.9278898,7.610232,30.049236,4.461303,11.489045,0.11489045,0.11489045,
2009/2/6,672.81,6.16188545,7.910636,31.23539,4.637407,11.94256,0.1194256,0.1194256,
2009/2/9,696.33,6.49616495,8.339784,32.929896,4.888984,12.590438,0.12590438,0.12590438,
2009/2/10,714.67,6.6187341,8.497139,33.551215,4.981229,12.827994,0.12827994,0.12827994,
2009/2/11,716.4,6.42039493,8.242511,32.545808,4.83196,12.443586,0.12443586,0.12443586,
2009/2/12,723.12,6.42039493,8.242511,32.545808,4.83196,12.443586,0.12443586,0.12443586,
2009/2/13,749.31,6.67221882,8.565802,33.822336,5.021481,12.931654,0.12931654,0.12931654,
2009/2/16,763.3,6.9307283,8.897677,35.132754,5.216035,13.43268,0.1343268,0.1343268,
2009/2/17,736.98,6.6187341,8.497139,33.551215,4.981229,12.827994,0.12827994,0.12827994,
2009/2/18,707.03,6.462737,8.296869,32.760446,4.863826,12.52565,0.1252565,0.1252565,
2009/2/19,722.1,6.65216205,8.540054,33.720666,5.006387,12.892781,0.12892781,0.12892781,
2009/2/20,744.07,6.5964488,8.468529,33.438248,4.964457,12.784802,0.12784802,0.12784802,
2009/2/23,767.44,6.71901795,8.625883,34.059567,5.056702,13.022357,0.13022357,0.13022357,
2009/2/24,737.93,6.21314164,7.976439,31.495215,4.675982,12.041901,0.12041901,0.12041901,
2009/2/25,734.88,6.0616016,7.781891,30.727039,4.561934,11.748196,0.11748196,0.11748196,
2009/2/26,689.92,5.5936103,7.181084,28.354731,4.209726,10.841166,0.10841166,0.10841166,
2009/2/27,659.07,5.67829444,7.289801,29.00704,3.814398,11.005296,0.11005296,0.11005296,
2009/3/2,672.85,5.7050368,7.324133,29.14365,3.832363,11.057126,0.11057126,0.11057126,
2009/3/3,673.85,5.62035266,7.215415,28.711049,3.775476,10.892997,0.10892997,0.10892997,
2009/3/4,715.48,5.84320566,7.501514,29.849473,3.925178,11.324916,0.11324916,0.11324916,
2009/3/5,719.01,5.7273221,7.352743,29.257493,3.847333,11.100318,0.11100318,0.11100318,
2009/3/6,715,5.63149531,7.22972,28.767971,3.782961,10.914593,0.10914593,0.10914593,
2009/3/9,686.47,5.49332645,7.052339,28.062148,3.690146,10.646803,0.10646803,0.10646803,
2009/3/10,699.8,5.68943709,7.304106,29.063961,3.821883,11.026892,0.11026892,0.11026892,
2009/3/11,695.7,5.65600914,7.261191,28.893197,3.799428,10.962104,0.10962104,0.10962104,
2009/3/12,696.98,5.571325,7.152474,28.460596,3.742542,10.797974,0.10797974,0.10797974,
2009/3/13,692.67,5.52898293,7.098115,28.244296,3.714098,10.71591,0.1071591,0.1071591,
2009/3/16,702.36,5.72509357,7.349882,29.246109,3.845836,11.095999,0.11095999,0.11095999,
2009/3/17,729.69,5.82760595,7.481487,29.769784,3.914698,11.294681,0.11294681,0.11294681,
2009/3/18,737.43,5.83206301,7.487209,29.792552,3.917693,11.30332,0.1130332,0.1130332,
2009/3/19,752.53,5.9278898,7.610232,30.282074,3.982064,11.489045,0.11489045,0.11489045,
2009/3/20,752.35,5.7273221,7.352743,29.257493,3.847333,11.100318,0.11100318,0.11100318,
2009/3/23,769.35,5.80532065,7.452878,29.655941,3.899728,11.251489,0.11251489,0.11251489,
2009/3/24,774.3,5.8833192,7.553012,30.054389,3.952124,11.402661,0.11402661,0.11402661,
2009/3/25,757.07,5.78972094,7.432851,29.576251,3.889249,11.221255,0.11221255,0.11221255,
2009/3/26,774.05,5.85880537,7.521541,29.929163,3.935657,11.35515,0.1135515,0.1135515,
2009/3/27,778.54,5.90114744,6.855973,30.197641,3.965773,11.467746,0.11467746,0.11467746,
2009/3/30,777.39,6.07051572,7.052746,31.06434,4.079595,11.796881,0.11796881,0.11796881,
2009/3/31,784.08,6.01257394,6.985429,30.767838,4.040656,11.684282,0.11684282,0.11684282,
2009/4/1,798.74,6.0393163,7.016498,30.904685,4.058627,11.736251,0.11736251,0.11736251,
2009/4/2,805.12,6.0393163,7.016498,30.904685,4.058627,11.736251,0.11736251,0.11736251,
2009/4/3,801.06,6.00588835,6.977661,30.733626,4.036163,11.67129,0.1167129,0.1167129,
2009/4/7,807.01,6.10840073,7.096761,31.258207,4.105055,11.870503,0.11870503,0.11870503,
2009/4/8,780.46,5.96800334,6.933647,30.539759,4.010703,11.597668,0.11597668,0.11597668,
2009/4/9,793.13,6.05045895,7.029444,30.961705,4.066116,11.757904,0.11757904,0.11757904,
2009/4/10,820.84,6.22874135,7.236573,31.87402,4.185928,12.104362,0.12104362,0.12104362,
2009/4/13,835.91,6.22651282,7.233984,31.862616,4.18443,12.100031,0.12100031,0.12100031,
2009/4/14,850.56,6.462737,7.50843,33.071434,4.343181,12.559088,0.12559088,0.12559088,
2009/4/15,860.37,6.68559,7.767341,34.211829,4.492945,12.99216,0.1299216,0.1299216,
2009/4/16,859.51,6.4850223,7.534321,33.185474,4.358157,12.602395,0.12602395,0.12602395,
2009/4/17,845.8,6.56747791,7.630118,33.60742,4.41357,12.762631,0.12762631,0.12762631,
2009/4/20,864.79,6.56970644,7.632707,33.618824,4.415068,12.766962,0.12766962,0.12766962,
2009/4/21,856.11,6.53182143,7.588692,33.424957,4.389608,12.69334,0.1269334,0.1269334,
2009/4/22,819.14,6.53182143,7.588692,33.424957,4.389608,12.69334,0.1269334,0.1269334,
2009/4/23,825.22,6.45159435,7.495484,33.014415,4.335692,12.537434,0.12537434,0.12537434,
2009/4/24,821.17,6.49839348,7.549856,33.253897,4.367143,12.628379,0.12628379,0.12628379,
2009/4/27,794.95,6.3735958,7.404865,32.615277,4.283275,12.385859,0.12385859,0.12385859,
2009/4/28,798.3,6.26662636,6.872284,31.3616,4.089405,11.524727,0.11524727,0.11524727,
2009/4/29,817.59,6.33793932,6.950489,31.718489,4.135942,11.655876,0.11655876,0.11655876,
2009/4/30,828.96,6.3513105,6.965153,31.785406,4.144668,11.680467,0.11680467,0.11680467,
2009/5/4,859.62,6.55856379,7.192436,32.822613,4.279915,12.061619,0.12061619,0.12061619,
2009/5/5,867.23,6.59867733,7.236427,33.023363,4.306091,12.13539,0.1213539,0.1213539,
2009/5/6,883.48,6.60981998,7.248646,33.079127,4.313363,12.155882,0.12155882,0.12155882,
2009/5/7,878.18,6.4404517,7.062909,32.231516,4.202838,11.844403,0.11844403,0.11844403,
2009/5/8,879.93,6.29336872,6.901611,31.495433,4.106857,11.573908,0.11573908,0.11573908,
2009/5/11,849.83,6.13960015,6.732981,30.725892,4.006512,11.291118,0.11291118,0.11291118,
2009/5/12,872.19,6.24211253,6.845401,31.23892,4.073408,11.479645,0.11479645,0.11479645,
2009/5/13,880.6,6.27108342,6.877172,31.383906,4.092314,11.532924,0.11532924,0.11532924,
2009/5/14,880.75,6.29336872,6.901611,31.495433,4.106857,11.573908,0.11573908,0.11573908,
2009/5/15,885.73,6.31342549,6.923606,31.595808,4.119945,11.610794,0.11610794,0.11610794,
2009/5/18,892.23,6.27999754,6.886947,31.428517,4.098131,11.549318,0.11549318,0.11549318,
2009/5/19,900.15,6.1313604,6.653554,30.363427,3.959248,11.15792,0.1115792,0.1115792,
2009/5/20,897.37,5.95569608,6.462928,29.49351,3.845815,10.838244,0.10838244,0.10838244,
2009/5/21,878.09,5.9286708,6.433601,29.359677,3.828364,10.789063,0.10789063,0.10789063,
2009/5/22,876.58,5.88137656,6.382279,29.125469,3.797824,10.702996,0.10702996,0.10702996,
2009/5/25,881.2,5.73611568,6.224647,28.406115,3.704024,10.438649,0.10438649,0.10438649,
2009/5/26,877.3,5.8948892,6.396943,29.192386,3.80655,10.727587,0.10727587,0.10727587,
2009/5/27,881.77,5.742872,6.231979,28.439573,3.708387,10.450944,0.10450944,0.10450944,
2009/6/1,900.93,5.82056968,6.316294,28.824344,3.758559,10.592339,0.10592339,0.10592339,
2009/6/2,907.5,5.81719152,6.312628,28.807615,3.756378,10.586191,0.10586191,0.10586191,
2009/6/3,920.82,5.96583056,6.473926,29.543698,3.852359,10.856686,0.10856686,0.10856686,
2009/6/4,920.95,5.92529264,6.429936,29.342948,3.826183,10.782915,0.10782915,0.10782915,
2009/6/5,917.21,5.91515816,6.418938,29.292761,3.819638,10.764472,0.10764472,0.10764472,
2009/6/8,914.01,5.73949384,6.228313,28.422844,3.706205,10.444796,0.10444796,0.10444796,
2009/6/9,920.69,5.8104352,6.305296,28.774157,3.752015,10.573896,0.10573896,0.10573896,
2009/6/10,932.13,5.89826736,6.400609,29.209115,3.808731,10.733734,0.10733734,0.10733734,
2009/6/11,922.62,5.93880528,6.444599,29.409865,3.834908,10.807506,0.10807506,0.10807506,
2009/6/12,903.74,5.8611076,6.360284,29.025094,3.784736,10.66611,0.1066611,0.1066611,
2009/6/15,916.5,6.0131248,6.525248,29.777906,3.882899,10.942753,0.10942753,0.10942753,
2009/6/16,916.55,6.2833776,6.818518,31.116239,4.057411,11.434562,0.11434562,0.11434562,
2009/6/17,933.02,6.2664868,6.800188,31.032593,4.046504,11.403824,0.11403824,0.11403824,
2009/6/18,940.85,6.2158144,6.7452,30.781656,4.013783,11.31161,0.1131161,0.1131161,
2009/6/19,943.87,6.24621784,6.778193,30.932218,4.033416,11.366938,0.11366938,0.11366938,
2009/6/22,938.77,6.17189832,6.697544,30.564177,3.985425,11.231691,0.11231691,0.11231691,
2009/6/23,936.73,6.04015008,6.554575,29.911739,3.90035,10.991934,0.10991934,0.10991934,
2009/6/24,953.93,6.04352824,6.558241,29.928469,3.902532,10.998082,0.10998082,0.10998082,
2009/6/25,954.41,6.08406616,6.602231,30.129219,3.928709,11.071853,0.11071853,0.11071853,
2009/6/26,958.68,6.0131248,6.525248,29.777906,3.882899,10.942753,0.10942753,0.10942753,
2009/6/29,968.54,6.07730984,6.5949,30.09576,3.924346,11.059558,0.11059558,0.11059558,
2009/6/30,962.27,6.02325928,6.536246,29.828094,3.889443,10.961196,0.10961196,0.10961196,
2009/7/1,977.46,6.0637972,6.580236,30.028844,3.91562,11.034967,0.11034967,0.11034967,
2009/7/2,987.02,6.13811672,6.660885,30.396885,3.963611,11.170215,0.11170215,0.11170215,
2009/7/3,1000.68,6.0975788,6.616895,30.196135,3.937434,11.096443,0.11096443,0.11096443,
2009/7/6,1010.59,5.93542712,6.440933,29.393136,3.832727,10.801358,0.10801358,0.10801358,
2009/7/7,1008.2,6.05028456,6.565573,29.961927,3.906895,11.010377,0.11010377,0.11010377,
